,player_id,pretty_name,date_of_birth,position,foot,height_in_cm,market_value_in_gbp,highest_market_value_in_gbp
2437,61358,Filippo Porcari,1984-04-28,Midfield,Right,176,,810000.0
2438,67967,Leandro Salino,1985-04-22,Defender,Right,170,,4500000.0
2439,155960,Lukas Spalvis,1994-07-27,Attack,Left,189,,1800000.0
2440,67638,Halil Colak,1988-01-29,Attack,Right,176,,990000.0
2441,223032,Andreas Blomqvist,1992-05-05,Midfield,,182,,270000.0
2442,3458,Lomana Lualua,1980-12-28,Attack,Right,180,,5400000.0
2443,190900,Kenan Karisik,1987-04-23,Midfield,Right,182,,450000.0
2444,54044,Bruno Mezenga,1988-08-08,Attack,Left,185,,2069999.0
2445,51824,Emrah Tuncel,1987-09-14,Goalkeeper,Left,186,,540000.0
2446,149946,Raphael Martinho,1988-04-15,Midfield,Left,183,,1800000.0
2447,61447,Jem Karacan,1989-02-21,Midfield,Right,175,,900000.0
2448,7043,Semih Senturk,1983-04-29,Attack,Both,182,,6750000.0
2449,348736,Andrea Liotti,1997-02-20,Goalkeeper,Left,196,,68000.0
2450,111438,Matteo Fedele,1992-07-20,Midfield,Right,185,,630000.0
2451,107641,Wes Fletcher,1991-02-28,Attack,Right,180,,113000.0
2452,129063,Jamie Reckord,1992-03-09,Defender,Left,173,,203000.0
2453,95314,Nemanja Tomic,1988-01-21,Attack,Right,179,,2700000.0
2454,42029,Blazej Augustyn,1988-01-26,Defender,Both,191,,810000.0
2455,292558,Dylan Carreiro,1995-01-20,Midfield,,173,,113000.0
2456,21416,Richie Foran,1980-06-16,Attack,,0,,675000.0
2457,198015,Jefte Betancor,1993-07-06,Attack,,186,,810000.0
2458,15500,Angel Lopez,1981-03-10,Defender,Right,180,,5400000.0
2459,14259,Antolin Alcaraz,1982-07-30,Defender,Right,187,45000.0,4050000.0
2460,18093,Julien Faubert,1983-08-01,Defender,Right,180,,9450000.0
2461,416432,Kemal Bolat,1997-03-17,Attack,,0,,45000.0
2462,101042,Josip Kvesic,1990-09-21,Defender,Left,179,,585000.0
2463,261741,Tobi Sho Silva,1995-03-27,Attack,Right,186,,45000.0
2464,210384,Cem Felek,1996-05-12,Midfield,Both,180,,45000.0
2465,32611,Sezer Badur,,Midfield,Right,181,,1980000.0
2466,415551,Abdel Diarra,1994-12-28,Defender,Right,190,,270000.0
2467,124173,Fabrizio Poli,1989-05-26,Defender,Right,185,,720000.0
2468,72740,Andrea Mutombo,1990-06-07,Midfield,Left,189,,450000.0
2469,4902,Lamine Diarra,1983-12-20,Attack,Right,175,,3150000.0
2470,234510,Lionel Enguene,1996-01-07,Midfield,Right,168,,900000.0
2471,235770,Calum Ferguson,1995-02-12,Attack,,176,,113000.0
2472,32380,Kadir Bekmezci,1985-07-05,Midfield,Right,180,,2700000.0
2473,244263,Aidan Nesbitt,1997-02-05,Attack,Right,174,,225000.0
